NoRakit,nomorBatang,barcode,jenisKayu,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
2703,656,1713A46TEST0000000000013000,Lambin,15.5,56,38,47,2.69,,0
2704,2691,1713A46TEST0000000000015035,Keruing,16,64,48,56,3.94,,0
2705,2966,1713A46TEST0000000000015310,Mersawa,21,66,47,56,5.17,,0
2706,2397,1713A46TEST0000000000014741,Keruing,20.1,65,42,53,4.43,,0
2707,3143,1713A46TEST0000000000015487,Keruing,20.6,90,66,78,9.84,,0
2708,1742,1713A46TEST0000000000014086,Meranti Merah,12.6,80,67,73,5.27,,0
2709,2425,1713A46TEST0000000000014769,Meranti Merah,21.1,84,61,72,8.59,,0
2710,2797,1713A46TEST0000000000015141,Benuas,14.7,70,57,63,4.58,,0
2711,1091,1713A46TEST0000000000013435,Benuas,11.4,80,74,77,5.31,,0
2712,1440,1713A46TEST0000000000013784,Benuas,10.5,67,64,65,2.93,23,15.9
2713,598,1713A46TEST0000000000012942,Keruing,21.8,69,51,60,6.16,,0
2714,1246,1713A46TEST0000000000013590,Meranti Merah,19.7,68,51,59,5.39,,0
2715,2661,1713A46TEST0000000000015005,Keruing,18,58,44,51,3.68,,0
2716,3272,1713A46TEST0000000000015616,Meranti Merah,14.4,70,58,64,4.63,,0
2717,2379,1713A46TEST0000000000014723,Benuas,12.7,50,43,46,2.11,,0
2718,34,1713A46TEST0000000000012378,Benuas,15.4,67,53,60,4.35,,0
2719,119,1713A46TEST0000000000012463,Meranti Merah,15.8,59,44,51,3.23,,0
2720,1374,1713A46TEST0000000000013718,Keruing,15.1,56,40,48,2.73,,0
2721,1474,1713A46TEST0000000000013818,Keruing,18.1,65,45,55,4.3,,0
2722,1407,1713A46TEST0000000000013751,Meranti Merah,20,82,64,73,8.37,,0
2723,704,1713A46TEST0000000000013048,Keruing,20,85,58,71,7.92,,0
2724,1887,1713A46TEST0000000000014231,Benuas,11.9,135,118,126,14.84,,0
2725,1862,1713A46TEST0000000000014206,Meranti Merah,18.3,91,68,79,8.97,,0
2726,360,1713A46TEST0000000000012704,Meranti Merah,15.9,58,48,53,3.51,,0
2727,557,1713A46TEST0000000000012901,Meranti Putih,19.3,56,40,48,3.49,,0
2728,3019,1713A46TEST0000000000015363,Benuas,13.5,56,43,49,2.55,,0
2729,1008,1713A46TEST0000000000013352,Keruing,16.7,67,50,58,4.17,12,5.4
2730,2793,1713A46TEST0000000000015137,Benuas,19.8,66,54,60,4.88,19,12.8
2731,3356,1713A46TEST0000000000015700,Keruing,14.3,64,53,58,3.78,,0
2732,662,1713A46TEST0000000000013006,Meranti Merah,19.8,64,46,55,4.7,,0
2733,2037,1713A46TEST0000000000014381,Keruing,12.3,62,49,55,2.92,,0
2734,2093,1713A46TEST0000000000014437,Keruing,18.8,94,72,83,10.17,,0
2735,3268,1713A46TEST0000000000015612,Meranti Batu,18,76,59,67,6.35,,0
2736,2013,1713A46TEST0000000000014357,Keruing,18,60,49,54,4.12,,0
2737,223,1713A46TEST0000000000012567,Keruing,19.8,73,51,62,5.98,,0
2738,30,1713A46TEST0000000000012374,Meranti Kuning,17.7,61,50,55,4.21,,0
2739,3286,1713A46TEST0000000000015630,Keruing,17,63,50,56,4.19,,0
2740,1889,1713A46TEST0000000000014233,Benuas,10.6,142,120,131,13.33,30,6.7
2741,448,1713A46TEST0000000000012792,Meranti Merah,14.9,72,56,64,4.79,,0
2742,2553,1713A46TEST0000000000014897,Meranti Batu,13,84,72,78,5.92,15,4.7
2743,1317,1713A46TEST0000000000013661,Keruing,18.8,84,62,73,7.87,,0
2744,2883,1713A46TEST0000000000015227,Keruing,21.2,85,58,71,8.39,,0
2745,531,1713A46TEST0000000000012875,Meranti Merah,18,73,57,65,5.97,,0
2746,1961,1713A46TEST0000000000014305,Keruing,18,56,40,48,3.26,,0
2747,391,1713A46TEST0000000000012735,Keruing,20.3,60,45,52,4.31,,0
2748,637,1713A46TEST0000000000012981,Meranti Kuning,18.2,61,40,50,3.57,,0
2749,494,1713A46TEST0000000000012838,Keruing,10.3,78,71,74,4.43,,0
2750,1666,1713A46TEST0000000000014010,Keruing,15.7,66,53,59,4.29,,0
2751,555,1713A46TEST0000000000012899,Keruing,14.9,90,65,77,6.94,,0
2752,2351,1713A46TEST0000000000014695,Meranti Kuning,9.1,59,53,56,1.95,18,13.2
2753,1412,1713A46TEST0000000000013756,Meranti Merah,10,73,60,66,3.42,,0
2754,1503,1713A46TEST0000000000013847,Meranti Batu,19.2,60,46,53,4.24,,0
2755,386,1713A46TEST0000000000012730,Meranti Putih,9.3,53,50,51,1.9,,0
2756,2039,1713A46TEST0000000000014383,Meranti Kuning,10,61,49,55,2.38,,0
2757,3238,1713A46TEST0000000000015582,Keruing,15.9,80,67,73,6.65,,0
2758,2286,1713A46TEST0000000000014630,Meranti Merah,18.9,106,88,97,13.97,,0
2759,250,1713A46TEST0000000000012594,Keruing,15,101,88,94,10.41,,0
2760,1223,1713A46TEST0000000000013567,Keruing,13.5,82,67,74,5.81,,0
2761,2154,1713A46TEST0000000000014498,Keruing,17.4,93,75,84,9.64,,0
2762,384,1713A46TEST0000000000012728,Meranti Merah,18.3,56,47,51,3.74,,0
2763,1522,1713A46TEST0000000000013866,Meranti Batu,16.4,100,84,92,10.25,20,6
2764,1466,1713A46TEST0000000000013810,Meranti Batu,14.6,59,53,56,3.6,,0
2765,2172,1713A46TEST0000000000014516,Keruing,22.1,85,57,71,8.75,,0
2766,303,1713A46TEST0000000000012647,Meranti Merah,16.8,63,46,54,3.85,,0
2767,1196,1713A46TEST0000000000013540,Keruing,14.8,67,50,58,3.91,,0
2768,1328,1713A46TEST0000000000013672,Keruing,12,79,62,70,4.62,,0
2769,3285,1713A46TEST0000000000015629,Keruing,18.2,61,53,57,4.64,,0
2770,3294,1713A46TEST0000000000015638,Meranti Batu,16,57,44,50,3.14,,0
2771,2368,1713A46TEST0000000000014712,Keruing,20.1,68,44,56,4.95,,0
2772,1880,1713A46TEST0000000000014224,Meranti Putih,16.9,68,54,61,4.94,,0
2773,1831,1713A46TEST0000000000014175,Keruing,11.4,69,63,66,3.68,14,5.7
2774,2721,1713A46TEST0000000000015065,Benuas,17.3,73,65,69,6.47,,0
2775,2657,1713A46TEST0000000000015001,Meranti Kuning,12.2,66,57,61,3.57,,0
2776,160,1713A46TEST0000000000012504,Meranti Merah,17.3,66,49,57,4.41,,0
2777,2189,1713A46TEST0000000000014533,Keruing,21.9,70,47,58,5.79,,0
2778,3151,1713A46TEST0000000000015495,Keruing,17.5,77,60,68,6.36,,0
2779,2104,1713A46TEST0000000000014448,Keruing,11.5,75,69,72,4.68,,0
2780,613,1713A46TEST0000000000012957,Keruing,16.8,74,52,63,5.24,,0
2781,493,1713A46TEST0000000000012837,Keruing,15.6,55,48,51,3,11,5.9
2782,615,1713A46TEST0000000000012959,Keruing,19.6,83,62,72,7.98,,0
2783,1976,1713A46TEST0000000000014320,Meranti Merah,21.6,72,54,63,6.73,,0
2784,2126,1713A46TEST0000000000014470,Meranti Merah,20.6,79,55,67,7.26,,0
2785,2365,1713A46TEST0000000000014709,Benuas,17.7,80,64,72,6.81,15,5.5
2786,11,1713A46TEST0000000000012355,Kapur,16.4,59,38,48,2.97,,0
2787,521,1713A46TEST0000000000012865,Meranti Merah,19.3,56,48,52,4.1,,0
2788,507,1713A46TEST0000000000012851,Meranti Merah,17.6,69,52,60,4.98,,0
2789,2637,1713A46TEST0000000000014981,Meranti Merah,21.3,68,56,62,6.43,,0
2790,2438,1713A46TEST0000000000014782,Keruing,11.9,83,64,73,4.98,,0
2791,1950,1713A46TEST0000000000014294,Meranti Putih,13.7,61,54,57,3.5,,0
2792,501,1713A46TEST0000000000012845,Keruing,19,70,54,62,5.74,,0
2793,1967,1713A46TEST0000000000014311,Keruing,19.8,73,52,62,5.98,,0
2794,173,1713A46TEST0000000000012517,Meranti Merah,16.8,53,37,45,2.67,,0
2795,2045,1713A46TEST0000000000014389,Mersawa,12.6,60,50,55,2.99,,0
2796,2200,1713A46TEST0000000000014544,Benuas,12.7,61,50,55,2.65,17,12.2
2797,1538,1713A46TEST0000000000013882,Keruing,16.5,63,52,57,4.21,,0
2798,313,1713A46TEST0000000000012657,Benuas,15.2,74,67,70,5.85,,0
2799,235,1713A46TEST0000000000012579,Keruing,10.7,71,62,66,3.66,,0
2800,3370,1713A46TEST0000000000015714,Benuas,10.9,60,57,58,2.88,,0
2801,171,1713A46TEST0000000000012515,Benuas,21.7,70,53,61,6.13,10,3.4
2802,990,1713A46TEST0000000000013334,Keruing,14.7,94,70,82,7.76,,0
2803,610,1713A46TEST0000000000012954,Meranti Merah,17.4,87,65,76,7.89,,0
2804,1601,1713A46TEST0000000000013945,Keruing,15.6,65,54,59,4.27,,0
2805,914,1713A46TEST0000000000013258,Keruing,12,69,63,66,4.11,,0
2806,385,1713A46TEST0000000000012729,Keruing,12.1,56,47,51,2.47,,0
