noBtg,idBarcode,jenis,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
B2468,,KR,12.3,68,57,62,3.71,0,0
B2469,,MR,13.7,67,59,63,4.27,0,0
B2470,,MR,14.4,59,51,55,3.42,0,0
B2471,,MR,10.8,66,55,60,2.81,15,8
B2472,,MR,19.1,63,46,54,4.37,0,0
B2473,,MR,15.3,64,51,57,3.75,10,3.9
B2474,,KR,19.7,62,48,55,4.68,0,0
B2475,,BNS,15,52,48,50,2.95,0,0
B2476,,MR,15.6,74,58,66,5.34,0,0
B2477,,KR,16.9,60,44,52,3.59,0,0
B2478,,KR,13.9,52,40,46,2.31,0,0
B2479,,KR,16.3,52,39,45,2.59,0,0
B2480,,KR,15.7,55,39,47,2.72,0,0
B2481,,KR,18.1,67,50,58,4.78,0,0
B2482,,KR,19.6,66,46,56,4.83,0,0
B2483,,KR,9.3,59,50,54,2.13,0,0
B2484,,KR,13.2,54,46,50,2.59,0,0
B2485,,BNS,13.1,72,57,64,4.08,10,3.1
B2486,,MB,17,60,43,51,3.47,0,0
B2487,,MR,15.4,68,55,61,4.2,14,6.7
B2488,,MRS,20.9,67,45,56,5.15,0,0
B2489,,KR,20,68,49,58,5.28,0,0
B2490,,MR,19.5,79,52,65,6.47,0,0
B2491,,KR,19.6,67,54,60,5.54,0,0
B2492,,KR,23.9,67,47,57,6.1,0,0
B2493,,MR,17.5,59,39,49,3.3,0,0
B2494,,MRS,16.8,64,44,54,3.85,0,0
B2495,,KR,18.5,62,45,53,4.08,0,0
B2496,,KR,15.7,53,38,45,2.5,0,0
B2497,,MR,14.9,57,44,50,2.93,0,0
B2498,,KR,13.7,65,50,57,3.5,0,0
B2499,,MR,11.8,55,42,48,2.02,10,5.5
B2500,,MR,9.2,58,55,56,2.27,0,0
B2501,,KR,18.9,67,52,59,5.17,0,0
B2502,,BNS,13.6,68,55,61,3.71,14,6.7
B2503,,MR,11.3,61,49,55,2.68,0,0
B2504,,MR,10.9,55,44,49,1.95,10,5.3
B2505,,MR,21.8,55,41,48,3.94,0,0
B2506,,MR,8.6,56,50,53,1.9,0,0
B2507,,BNS,11.9,91,84,87,6.01,30,15.1
B2508,,MR,16.1,60,48,54,3.69,0,0
B2509,,MR,21.6,65,45,55,4.92,10,4.2
B2510,,MR,22.4,83,58,70,8.62,0,0
B2511,,MR,16.9,62,51,56,4.16,0,0
B2512,,KR,15.9,66,49,57,4.06,0,0
B2513,,MR,15,78,61,69,5.61,0,0
B2514,,BNS,19.8,70,59,64,6.37,0,0
B2515,,MR,18.1,66,52,59,4.95,0,0
B2516,,BNS,12.4,53,44,48,2.09,11,6.7
B2517,,MRS,16.7,58,45,51,3.17,12,7
B2518,,MR,13.1,67,56,61,3.53,15,7.7
B2519,,MR,20,80,53,66,6.84,0,0
B2520,,MR,14,90,65,77,6.52,0,0
B2521,,MR,13.3,55,48,51,2.58,10,4.9
