noBtg,jenis,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
A7347,KR,20,75,59,67,7.05,0,0
A7349,MR,15.8,75,60,67,5.57,0,0
A7350,MR,19,87,67,77,8.85,0,0
A7351,KR,17.7,80,60,70,6.81,0,0
A7352,KR,17.2,65,46,55,4.09,0,0
A7353,MR,15.7,57,43,50,3.08,0,0
A7354,MR,16.9,55,41,48,2.68,15,12.4
A7355,KR,17.8,67,54,60,5.03,0,0
A7356,KR,16.8,70,50,60,4.75,0,0
A7357,MR,17.5,80,60,70,6.73,0,0
A7358,MR,14.3,66,51,58,3.78,0,0
A7359,MR,20.4,76,52,64,6.56,0,0
A7360,MR,16.7,67,52,59,4.57,0,0
A7361,MR,18.9,62,42,52,4.01,0,0
A7362,MR,17,60,40,50,3.34,0,0
A7363,MR,13,62,55,58,3.1,16,9.7
A7364,MR,17,55,42,48,3.08,0,0
A7365,MR,19.2,71,56,63,5.29,19,11.6
A7366,MR,13.7,71,60,65,4.55,0,0
A7367,MR,16.8,60,44,52,3.57,0,0
A7368,MR,13.8,76,68,72,5.62,0,0
A7369,MR,19.6,70,51,60,5.54,0,0
A7370,MR,18.8,70,54,62,5.68,0,0
A7371,MR,20.7,72,48,60,5.85,0,0
A7372,MR,21.6,76,53,64,6.95,0,0
A7373,MR,22.3,66,47,56,5.49,0,0
A7374,MR,14.6,67,56,61,4.27,0,0
A7375,MR,18,80,57,68,6.54,0,0
A7376,MR,17.3,69,56,62,5.22,0,0
A7377,MR,13.2,80,64,72,5.37,0,0
A7378,MR,13.9,65,53,59,3.8,0,0
A7379,MR,15.3,57,48,52,3.25,0,0
A7380,MR,13.9,64,50,57,3.55,0,0
A7381,MR,17,68,52,60,4.81,0,0
A7382,MR,17.5,70,54,62,5.28,0,0
A7383,MB,15.4,60,50,55,3.51,10,4.2
A7384,MB,11.6,80,69,74,4.99,0,0
A7385,MR,17.8,98,82,90,11.32,0,0
A7386,KR,20,72,59,65,6.64,0,0
A7387,KR,18.5,105,75,90,11.77,0,0
A7388,KR,19.9,88,67,77,9.27,0,0
A7389,KR,11.6,77,70,73,4.86,0,0
A7390,KR,12.6,101,77,89,7.84,0,0
A7391,KR,22.4,65,43,54,5.13,0,0
A7392,KR,21.6,58,40,49,4.07,0,0
A7393,MR,12.7,67,59,63,3.96,0,0
A7394,MR,11.2,59,51,55,2.66,0,0
A7395,KR,16.9,63,48,55,4.02,0,0
A7396,KR,10.8,52,40,46,1.79,0,0
A7397,KR,14.2,64,53,58,3.75,0,0
A7398,KR,18.5,68,50,59,5.06,0,0
A7399,KR,20.9,63,43,53,4.61,0,0
A7400,KR,23,73,49,61,6.72,0,0
A7401,KR,22.9,70,52,61,6.69,0,0
A7402,MR,22.7,76,50,63,7.08,0,0
A7403,MR,12.3,54,46,50,2.42,0,0
A7404,MB,21,77,58,67,6.86,16,7.3
A7405,MB,13.8,60,46,53,2.69,16,11.6
A7406,MR,13.4,64,54,59,3.66,0,0
A7407,MR,18.1,66,53,59,4.95,0,0
A7408,MR,21.3,70,51,60,6.02,0,0
A7409,MR,19,82,63,72,7.74,0,0
A7410,KR,12.5,51,40,45,1.99,0,0
A7411,KR,14,50,40,45,2.23,0,0
A7412,KR,11.3,50,40,45,1.8,0,0
A7413,KR,13,51,40,45,2.07,0,0
A7414,KR,12.5,52,40,46,2.08,0,0
A7417,MR,22.1,60,42,51,4.51,0,0
A7418,KR,16.1,68,50,59,4.4,0,0
A7419,MR,21.7,85,60,72,8.84,0,0
A7420,MR,19,98,76,87,11.29,0,0
A7421,MR,20.4,70,57,63,6.36,0,0
A7422,MB,14.3,130,102,116,15.11,0,0
A7423,MR,9.4,86,74,80,4.35,20,8
A7424,MR,13.5,78,58,68,4.9,0,0
A7425,MR,20.4,93,60,76,9.25,0,0
A7426,MR,16.7,62,47,54,3.22,19,15.8
A7428,MR,16.8,58,48,53,3.71,0,0
A7429,MR,18.6,90,63,76,7.7,20,8.8
A7430,MR,19.3,98,66,82,10.19,0,0
A7431,MR,14.2,61,51,56,3.35,10,4.1
A7432,MR,19.7,69,44,56,4.85,0,0
A7433,MR,20.1,57,45,51,4.11,0,0
A7434,MR,19.8,76,57,66,6.77,0,0
A7435,MR,22,91,65,78,10.51,0,0
A7436,MR,18.6,61,43,52,3.95,0,0
A7437,KR,20.8,66,45,55,4.94,0,0
A7438,KR,18.1,67,48,57,4.62,0,0
A7439,MR,17.3,58,46,52,3.67,0,0
A7440,MR,18.7,64,50,57,4.77,0,0
A7441,MR,12.6,71,56,63,3.93,0,0
A7442,MR,16.6,64,48,56,4.09,0,0
A7443,MR,17.3,54,40,47,3,0,0
A7444,MR,19,57,42,49,3.58,0,0
A7445,MR,14.9,61,52,56,3.67,0,0
A7446,MR,20,62,47,54,4.58,0,0
A7447,MR,17.9,71,48,59,4.89,0,0
A7448,MR,17,62,45,53,3.75,0,0
A7449,MR,18.1,87,65,76,8.21,0,0
A7450,MR,18.8,62,51,56,4.63,0,0
A7451,KR,15,60,52,56,3.69,0,0
A7452,MR,18.2,70,49,59,4.98,0,0
A7453,MR,13.8,59,42,50,2.71,0,0
A7454,MR,15.3,77,61,69,5.72,0,0
A7455,MR,17.8,79,59,69,6.66,0,0
A7456,MR,18.7,65,48,56,4.61,0,0
A7457,KR,21.3,69,45,57,5.44,0,0
A7458,MR,22.7,66,51,58,6,0,0
A7459,MR,15.8,64,55,59,4.32,0,0
A7460,MR,19.7,69,48,58,5.2,0,0
A7461,MR,18.2,60,43,51,3.72,0,0
A7462,MR,9.7,61,51,56,2.39,0,0
A7463,MR,12.6,62,50,56,3.1,0,0
A7464,MR,13.3,55,47,51,2.46,14,9.6
A7465,MR,12.6,75,62,68,4.58,0,0
A7466,MR,17.4,72,55,63,5.42,0,0
A7467,MR,17.8,71,51,61,5.2,0,0
A7468,MR,18.8,70,53,61,5.49,0,0
A7469,MR,18.4,71,52,61,5.38,0,0
A7470,MR,14.9,90,73,81,7.68,0,0
A7471,MR,17.2,75,50,62,5.19,0,0
A7472,MR,19.6,75,58,66,6.71,0,0
A7473,MR,17.1,60,43,51,3.32,10,4.9
A7474,MR,13.7,62,46,54,3.14,0,0
A7475,MR,15,62,44,53,3.31,0,0
A7476,MR,19.1,72,60,66,6.53,0,0
A7477,MR,14.7,82,75,78,7.02,0,0
A7478,MR,11.6,75,64,69,4.34,0,0
A7479,MR,15.3,60,45,52,3.25,0,0
A7480,MR,18.3,60,47,53,4.04,0,0
A7481,MR,15.5,57,42,49,2.92,0,0
A7482,MR,16.3,61,48,54,3.73,0,0
A7483,MR,17,80,64,72,6.92,0,0
A7484,MR,16.8,85,64,74,7.23,0,0
A7485,MR,20.7,58,50,54,4.74,0,0
A7486,MR,12.1,55,46,50,2.38,0,0
A7487,MR,20.5,65,50,57,5.23,0,0
A7488,MR,13.7,70,58,64,4.41,0,0
A7489,MR,22.3,79,60,69,8.34,0,0
A7490,MR,21,67,46,56,5.17,0,0
A7491,MR,17.9,79,62,70,6.89,0,0
A7492,MR,14.6,77,65,71,5.78,0,0
A7493,MR,18,73,55,64,5.79,0,0
A7494,MR,13.4,68,60,64,4.31,0,0
A7495,MR,22.3,69,42,55,5.3,0,0
A7496,MR,21.1,77,60,68,7.66,0,0
A7497,MR,18.3,61,41,51,3.74,0,0
A7498,MR,15.1,58,51,54,3.46,0,0
A7499,MR,11.6,60,53,56,2.86,0,0
A7500,MR,8.5,90,78,84,4.49,16,4.6
A7501,MR,15.2,63,50,56,3.74,0,0
A7502,MR,15.8,65,54,59,4.32,0,0
A7503,MR,16.4,86,60,73,6.86,0,0
A7504,MR,15.8,90,76,83,8.55,0,0
A7505,MR,19.5,77,57,67,6.88,0,0
A7506,MR,20.1,81,60,70,7.74,0,0
A7507,MR,14.7,67,49,58,3.88,0,0
A7508,MR,21.9,88,60,74,9.42,0,0
A7509,MR,20.6,82,67,74,8.86,0,0
A7510,MR,20.7,64,50,57,5.28,0,0
A7511,MR,21.8,68,44,56,5.37,0,0
A7512,MR,12.3,70,62,66,4.21,0,0
A7513,MR,11.4,62,48,55,2.71,0,0
A7514,MR,18.7,91,69,80,9.4,0,0
A7515,MR,17.9,71,52,61,5.23,0,0
A7516,MR,15.8,60,43,51,3.23,0,0
A7517,MR,22.2,65,45,55,5.05,10,4.2
A7518,MR,16.9,91,82,86,9.82,0,0
A7519,MR,17.5,100,72,86,9.72,16,4.4
A7520,MR,20.6,83,56,69,7.7,0,0
A7521,MR,16,60,50,55,3.8,0,0
A7522,MR,15.6,75,63,69,5.83,0,0
A7523,MR,14.4,68,58,63,4.49,0,0
A7524,MR,17.3,58,44,51,3.53,0,0
A7525,MR,19.6,59,42,50,3.06,20,20.4
A7526,MR,14.7,69,56,62,4.44,0,0
A7527,MR,14.5,62,50,56,3.57,0,0
A7528,MR,12.4,69,58,63,3.87,0,0
A7529,MR,16.9,75,61,68,6.14,0,0
A7530,MR,15.5,78,66,72,6.31,0,0
A7531,MR,17.1,69,50,59,4.68,0,0
A7532,MR,13.5,72,60,66,4.62,0,0
A7533,KR,19.8,70,54,62,5.98,0,0
A7534,MR,11.7,66,50,58,3.09,0,0
A7535,MR,15.5,80,60,70,5.97,0,0
A7536,MR,19.3,70,52,61,5.64,0,0
A7537,MR,23.6,70,51,60,6.67,0,0
A7538,MR,12.2,56,49,52,2.59,0,0
A7539,MR,16.5,64,51,57,4.21,0,0
A7540,MR,19.4,66,49,57,4.95,0,0
A7541,MR,17.3,65,52,58,4.57,0,0
A7542,BNS,12.3,150,128,139,17.56,30,5.9
A7543,KR,10.7,73,66,69,4,0,0
A7544,KR,12.9,93,75,84,7.15,0,0
A7545,KR,11.9,50,47,48,2.03,10,5.5
A7546,MB,12.3,66,55,60,3.3,12,5.1
A7547,MB,12.8,72,50,61,3.74,0,0
A7548,MB,16,54,44,49,3.02,0,0
A7549,KR,12.3,63,43,53,2.71,0,0
A7550,KR,19.4,57,45,51,3.96,0,0
A7551,KR,17.9,78,58,68,6.5,0,0
A7552,KR,21.8,59,46,52,4.63,0,0
A7553,KR,15.7,54,40,47,2.72,0,0
A7554,KR,14.3,57,40,48,2.59,0,0
A7555,MR,20.4,62,46,54,4.67,0,0
A7556,KR,21.8,70,50,60,6.16,0,0
A7557,MR,16.9,71,51,61,4.94,0,0
A7558,MR,12.6,68,62,65,4.18,0,0
A7559,MR,22.7,80,62,71,8.99,0,0
A7560,MR,15.7,58,42,50,3.08,0,0
A7561,MR,18.6,95,73,84,10.31,0,0
A7562,KR,13.9,50,41,45,2.21,0,0
A7563,KR,20.3,80,53,66,6.95,0,0
A7564,KR,16.1,69,58,63,5.02,0,0
A7565,KR,20.1,76,52,64,6.47,0,0
A7566,KR,13.2,50,40,45,2.1,0,0
A7567,KR,14.5,58,40,49,2.73,0,0
A7568,MB,13.4,68,56,62,3.66,17,9.6
A7569,MB,16.4,67,57,62,4.01,24,19.1
A7570,MR,18.5,55,40,47,3.21,0,0
A7608,MR,18.7,78,59,68,6.79,0,0
A7609,MR,12,63,53,58,3.17,0,0
A7610,MR,14.5,66,53,59,3.96,0,0
A7611,MR,18.8,70,49,59,5.14,0,0
A7612,MR,17.1,85,71,78,8.17,0,0
A7613,MR,17.9,84,65,74,7.7,0,0
A7614,MR,17.8,65,48,56,4.38,0,0
A7615,KR,17.7,79,55,67,6.24,0,0
A7616,KR,18,95,70,82,9.51,0,0
A7617,KR,12.9,73,59,66,4.41,0,0
A7618,MR,13.2,65,47,56,3.25,0,0
A7619,MR,18.9,71,54,62,5.02,19,12
A7620,MR,18.6,73,55,64,5.98,0,0
A7621,MR,16.9,65,44,54,3.87,0,0
A7624,KR,15.2,50,40,45,2.42,0,0
A7625,MB,15.2,68,54,61,4.44,0,0
A7626,MB,19.2,65,48,56,4.73,0,0
A7627,MR,21,66,40,53,4.63,0,0
A7628,MR,17.1,76,60,68,6.21,0,0
A7629,MR,18.3,61,42,51,3.74,0,0
A7630,MB,18.9,65,49,57,4.82,0,0
A7631,MR,19.1,77,59,68,6.94,0,0
A7632,MB,17,69,58,63,5.3,0,0
A7633,MB,16.3,57,47,52,3.18,13,8
A7634,MR,17.9,69,53,61,5.23,0,0
A7635,MR,17.3,60,49,54,3.96,0,0
A7636,MR,16.6,64,55,59,4.54,0,0
A7637,MR,15.1,66,50,58,3.99,0,0
A7638,MR,14.5,69,45,57,3.7,0,0
A7639,KR,22.2,78,55,66,7.6,0,0
A7640,KR,20.2,66,42,54,4.63,0,0
A7641,MR,21.2,93,63,78,10.13,0,0
A7642,MR,14.9,60,46,53,3.29,0,0
A7643,KR,15,74,58,66,5.13,0,0
A7644,KR,21,92,58,75,9.28,0,0
A7645,KR,21,67,53,60,5.94,0,0
A7646,KR,21.5,65,45,55,5.11,0,0
A7647,KR,18.9,82,59,70,7.27,0,0
